Year,Coal,Oil,Natural gas,Nuclear,Hydroelectric,Wind_Solar,Cost,,,
1920,3.6663,0.0152,0.0000,0.0000,0.0010,0.0000,NaN,,,
1921,3.0974,0.0913,0.0000,0.0000,0.0009,0.0000,24.74,,,
1922,3.1656,0.0436,0.0000,0.0000,0.0009,0.0000,24.04,,,
1923,3.5658,0.0517,0.0000,0.0000,0.0011,0.0000,22.89,,,
1924,3.8471,0.0527,0.0000,0.0000,0.0013,0.0000,21.74,,,
1925,4.0412,0.0385,0.0000,0.0000,0.0013,0.0000,20.41,,,
1926,4.0452,0.0974,0.0000,0.0000,0.0013,0.0000,22.01,,,
1927,4.5956,0.0304,0.0000,0.0000,0.0027,0.0000,19.88,,,
1928,4.7527,0.0314,0.0000,0.0000,0.0093,0.0000,18.50,,,
1929,5.1310,0.0314,0.0000,0.0000,0.0117,0.0000,17.90,,,
1930,5.5885,0.0304,0.0000,0.0000,0.0275,0.0000,18.41,,,
1931,5.5515,0.0314,0.0000,0.0000,0.0358,0.0000,18.96,,,
1932,5.6653,0.0355,0.0000,0.0000,0.0304,0.0000,18.96,,,
1933,5.9644,0.0304,0.0000,0.0000,0.0284,0.0000,18.44,,,
1934,6.4513,0.0233,0.0000,0.0000,0.0399,0.0000,17.47,,,
1935,7.0670,0.0243,0.0000,0.0000,0.0537,0.0000,16.33,,,
1936,7.8565,0.0243,0.0000,0.0000,0.0574,0.0000,15.55,,,
1937,8.5265,0.0243,0.0000,0.0000,0.0649,0.0000,14.55,,,
1938,8.6212,0.0203,0.0000,0.0000,0.0850,0.0000,14.27,,,
1939,NaN,0.0193,0.0000,0.0000,0.0844,0.0000,13.36,,,
1940,NaN,0.0264,0.0000,0.0000,0.0688,0.0000,11.70,,,
1941,NaN,0.0203,0.0000,0.0000,0.0715,0.0000,10.55,,,
1942,NaN,0.0183,0.0000,0.0000,0.0943,0.0000,9.57,,,
1943,NaN,0.0142,0.0000,0.0000,0.1143,0.0000,9.25,,,
1944,NaN,0.0183,0.0000,0.0000,0.1011,0.0000,9.47,,,
1945,NaN,0.0203,0.0000,0.0000,0.0984,0.0000,9.68,,,
1946,NaN,0.0345,0.0000,0.0000,0.0979,0.0000,9.30,,,
1947,15.6201,0.0680,0.0000,0.0000,0.0970,0.0000,8.68,,,
1948,16.5846,0.0740,0.0000,0.0000,0.0758,0.0000,7.70,,,
1949,17.2592,0.0903,0.0000,0.0000,0.0618,0.0000,7.68,,,
1950,18.3190,0.0730,0.0000,0.0000,0.0890,0.0000,7.60,,,
1951,19.7409,0.0832,0.0000,0.0000,0.1451,0.0000,NaN,,,
1952,19.9038,0.0710,0.0000,0.0000,0.1564,0.0000,NaN,,,
1953,20.5605,0.0984,0.0000,0.0000,0.1627,0.0000,NaN,,,
1954,22.3007,0.1785,0.0000,0.0000,0.2050,0.0000,NaN,,,
1955,24.1951,0.2201,0.0000,0.0000,0.1457,0.0000,6.95,,,
1956,25.8746,0.3773,0.0000,0.0181,0.1950,0.0000,NaN,,,
1957,26.3367,0.6025,0.0000,0.1279,0.2360,0.0000,NaN,,,
1958,26.1807,2.6019,0.0000,0.0954,0.2321,0.0000,NaN,,,
1959,26.2136,4.2512,0.0000,0.3755,0.2320,0.0000,NaN,,,
1960,30.0700,5.7800,0.0000,0.6500,0.2685,0.0000,6.32,,,
1961,32.9662,5.6024,0.0000,0.7501,0.3304,0.0000,NaN,,,
1962,36.3467,5.8458,0.0000,1.0872,0.3365,0.0000,6.22,,,
1963,40.1189,5.1317,0.0000,1.8601,0.3137,0.0000,6.26,,,
1964,40.8254,5.7454,0.0000,2.3854,0.3446,0.0000,6.14,,,
1965,40.0300,6.7400,0.0000,4.3400,0.3966,0.0000,6.08,,,
1966,40.0900,7.8100,0.0000,5.8000,0.3900,0.0000,6.01,,,
1967,39.6100,7.9200,0.0000,6.6800,0.4200,0.0000,5.86,,,
1968,43.3300,6.8500,0.0000,7.5100,0.3200,0.0000,6.08,,,
1969,44.7400,8.8900,0.1100,7.9100,0.2800,0.0000,5.67,,,
1970,43.0700,13.2700,0.1100,7.0000,0.3900,0.0000,5.38,,,
1971,42.4200,15.6300,0.6400,7.3700,0.2900,0.0000,5.31,,,
1972,38.4700,20.1300,1.6100,7.8700,0.2900,0.0000,5.17,,,
1973,44.3000,18.0900,0.6400,7.4600,0.3300,0.0000,4.90,,,
1974,38.7100,18.4100,2.4600,8.9700,0.3500,0.0000,5.33,,,
1975,41.8500,13.7000,2.1400,8.1200,0.3300,0.0000,5.79,,,
1976,44.4900,10.9200,1.6100,9.5600,0.3900,0.0000,6.13,,,
1977,45.7100,11.3500,1.2800,10.6400,0.3400,0.0000,6.18,,,
1978,46.0500,12.3100,0.8600,9.9600,0.3500,0.0000,6.13,,,
1979,50.1000,11.4500,0.5400,10.2300,0.3700,0.0000,5.85,,,
1980,51.0100,7.6700,0.4200,9.9100,0.3400,0.0000,6.16,,,
1981,49.6400,5.4600,0.2100,10.1800,0.3800,0.0000,6.56,,,
1982,46.7500,6.6400,0.2100,11.8800,0.3900,0.0000,6.72,,,
1983,47.1600,5.1400,0.2100,13.4700,0.3900,0.0000,6.55,,,
1984,31.0700,22.8000,0.4200,14.5000,0.3900,0.0000,6.31,,,
1985,42.8100,11.3500,0.5400,16.5000,0.3400,0.0000,6.15,,,
1986,47.9100,6.5100,0.1800,15.4400,0.4100,0.0000,6.03,,,
1987,51.5800,6.3000,0.9100,14.4400,0.3600,0.0000,5.64,,,
1988,49.8300,7.0100,0.9700,16.5700,0.4200,0.0000,5.57,,,
1989,48.5900,7.1100,0.5400,17.7400,0.4100,0.0000,5.54,,,
1990,49.8400,8.4000,0.5600,16.2600,0.4400,0.0000,5.37,,,
1991,49.9800,7.5600,0.5700,17.4300,0.3900,0.0000,NaN,,,
1992,46.9400,8.0700,1.5400,18.4500,0.4600,0.0000,NaN,,,
1993,39.6100,5.7800,7.0400,21.5800,0.3700,0.0000,NaN,,,
1994,37.1000,4.1100,10.1000,21.2000,0.4400,0.0000,NaN,,,
1995,36.2900,4.1500,13.2700,21.2500,0.4000,0.0000,NaN,,,
1996,33.6650,3.8710,17.3630,22.1800,0.2920,0.0420,6.45,,,
1997,28.2950,1.8510,21.5720,21.9830,0.3770,0.0570,6.20,,,
1998,29.9390,1.6950,23.0210,23.4430,0.4400,0.0750,6.29,,,
1999,25.5120,1.5410,27.1330,22.2160,0.4590,0.0730,6.40,,,
Two thousand,28.6700,1.5500,27.9070,19.6350,0.4370,0.0810,6.25,,,
Two thousand and one,31.6050,1.4230,26.8720,20.7680,0.3490,0.0830,5.87,,,
Two thousand and two,29.6260,1.2880,28.3270,20.1000,0.4120,0.1080,5.84,,,
Two thousand and three,32.5420,1.1920,27.8530,20.0410,0.2780,0.1110,5.82,,,
Two thousand and four,31.3120,1.1000,29.2540,18.1640,0.4180,0.1670,6.97,,,
Two thousand and five,32.5750,1.3050,28.5170,18.3720,0.4230,0.2500,8.51,,,
Two thousand and six,35.9430,1.4330,26.7760,17.1310,0.3950,0.3640,10.83,,,
Two thousand and seven,32.9200,1.1600,30.6000,14.0370,0.4370,0.4550,11.78,,,
Two thousand and eight,29.9610,1.5820,32.4000,11.9100,0.4420,0.6140,14.20,,,
Two thousand and nine,24.6600,1.5100,30.9000,15.2300,0.4500,0.8000,15.31,,,
Two thousand and ten,25.5600,1.1800,32.4300,13.9300,0.3100,0.8900,14.80,,,
2011,26.0300,0.7800,26.5800,15.6300,0.4900,1.3900,15.88,,,
2012,34.3300,0.7300,18.6200,15.2100,0.4600,1.8200,17.16,,,
2013,31.3300,0.5900,17.7000,15.4400,0.4000,2.6100,18.53,,,
2014,24.0100,0.5500,18.7300,13.8500,0.5100,3.1000,19.59,,,
2015,18.3400,0.6100,18.2800,15.4800,0.5400,4.1100,19.81,,,
2016,7.5300,0.5800,25.6300,15.4100,0.4600,4.0900,19.90,,,
2017,5.5543,0.5438,24.2718,15.1238,0.5057,5.2539,21.37,,,
2018,4.2406,0.4900,23.5080,14.0607,0.4680,5.9833,23.78,,,
2019,1.8500,0.3859,23.4502,12.0870,0.5101,6.5578,26.17,,,
2020,1.4688,0.3384,19.9888,10.7116,0.5914,7.5822,28.12,,,
2021,1.6699,0.5186,21.8621,9.9459,0.4659,6.6258,31.26,,,
2022,1.3970,0.6227,22.1819,10.2878,0.4867,8.0733,46.96,,,
2023,0.9036,0.5000,17.6897,8.7904,0.4761,8.2721,62.32,,,